,superkingdom,phylum,class,order,family,genus,species
sk__Archaea,Archaea,,,,,,
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,,
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosoarchaeum,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,,
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
sk__Bacteria,Bacteria,,,,,,
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__agricultural_soil_bacterium_SC-I-11,Bacteria,,,,,,agricultural soil bacterium SC-I-11
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_endosymbiont_of_Mortierella_elongata,Bacteria,,,,,,bacterium endosymbiont of Mortierella elongata
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_auto84_4W,Bacteria,,,,,,
sk__Bacteria;k__;p__Acidobacteria,Bacteria,Acidobacteria,,,,,
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_WWH4,Bacteria,Acidobacteria,,,,,Acidobacteria bacterium WWH4
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__Luteitalea,Bacteria,Acidobacteria,Vicinamibacteria,,Vicinamibacteraceae,Luteitalea,
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia,Bacteria,Acidobacteria,Acidobacteriia,,,,
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,,,
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium_sp._WY65,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium sp. WY65
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia,Bacteria,Acidobacteria,Blastocatellia,,,,
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Aridibacter,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Blastocatella,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Stenotrophobacter,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__Pyrinomonadaceae,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Pyrinomonadaceae,,
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae,Bacteria,Acidobacteria,Holophagae,,,,
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales,Bacteria,Acidobacteria,Holophagae,Holophagales,,,
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,,
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales,Bacteria,Acidobacteria,,,,,
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae,Bacteria,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,,
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Bryobacter,Bacteria,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Bryobacter,
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Paludibaculum,Bacteria,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae,Bacteria,Acidobacteria,Acidobacteriia,Bryobacterales,Solibacteraceae,,
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter,Bacteria,Acidobacteria,Acidobacteriia,Bryobacterales,Solibacteraceae,Candidatus Solibacter,
sk__Bacteria;k__;p__Actinobacteria,Bacteria,Actinobacteria,Actinobacteria,,,,
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia,Bacteria,Actinobacteria,Acidimicrobiia,,,,
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,,
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans;s__Aquihabitans_daechungensis,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,Aquihabitans daechungensis
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria,Bacteria,Actinobacteria,Actinobacteria,,,,
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium_YJF1-30,Bacteria,Actinobacteria,Actinobacteria,,,,actinobacterium YJF1-30
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,,
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
