genus,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__,456.0,430.0,115.0,720.0,480.0,244.0,1064.0,609.0,596.0,793.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter,235.0,164.0,39.0,291.0,150.0,89.0,484.0,164.0,246.0,441.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella,64.0,69.0,26.0,78.0,33.0,20.0,115.0,155.0,77.0,99.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter,172.0,173.0,60.0,286.0,71.0,65.0,357.0,88.0,214.0,258.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__,708.0,884.0,379.0,703.0,1193.0,616.0,1823.0,855.0,851.0,863.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__,128.0,104.0,73.0,116.0,100.0,18.0,176.0,77.0,72.0,60.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__,1.0,4.0,1.0,0.0,5.0,3.0,4.0,0.0,0.0,2.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__,6.0,15.0,10.0,6.0,10.0,5.0,13.0,11.0,5.0,11.0
sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__,6767.0,11443.0,3223.0,9088.0,15859.0,5559.0,17974.0,7922.0,5550.0,7326.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__,60.0,18.0,7.0,70.0,50.0,8.0,50.0,52.0,3.0,119.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter,823.0,242.0,138.0,1333.0,680.0,228.0,595.0,977.0,210.0,1294.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum,34.0,24.0,18.0,81.0,30.0,11.0,66.0,61.0,4.0,109.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__,3.0,1.0,1.0,6.0,15.0,3.0,6.0,11.0,1.0,15.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus Solibacter,148.0,109.0,60.0,214.0,210.0,75.0,171.0,192.0,66.0,95.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__,441.0,232.0,224.0,659.0,471.0,127.0,521.0,671.0,329.0,473.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,6.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia,17.0,2.0,5.0,46.0,4.0,3.0,9.0,17.0,4.0,22.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__,1.0,0.0,2.0,1.0,6.0,0.0,0.0,16.0,1.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,2.0,0.0,4.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,15.0,9.0,3.0,14.0,5.0,2.0,26.0,63.0,8.0,9.0
sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Coccidae;g__Rhodococcus,3.0,3.0,2.0,1.0,1.0,2.0,4.0,20.0,9.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__;g__,9.0,3.0,1.0,21.0,6.0,0.0,3.0,43.0,1.0,8.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae;g__Fodinicola,8.0,6.0,4.0,18.0,6.0,2.0,28.0,20.0,13.0,12.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans,1.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae;g__,8.0,26.0,1.0,129.0,81.0,25.0,85.0,70.0,9.0,15.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__,3.0,1.0,3.0,9.0,1.0,0.0,2.0,28.0,7.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__;g__,5.0,1.0,0.0,21.0,2.0,0.0,5.0,11.0,7.0,18.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__,121.0,46.0,18.0,327.0,99.0,12.0,151.0,260.0,109.0,270.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__,175.0,39.0,195.0,403.0,37.0,38.0,67.0,394.0,1203.0,33.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae;g__,8.0,1.0,1.0,0.0,3.0,4.0,2.0,5.0,9.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__,66.0,3.0,5.0,87.0,23.0,32.0,17.0,225.0,49.0,9.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__,13.0,11.0,14.0,95.0,8.0,3.0,18.0,61.0,32.0,31.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__,491.0,8.0,503.0,165.0,53.0,83.0,96.0,885.0,3559.0,53.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,6.0,0.0,12.0,1.0,0.0,0.0,0.0,19.0,62.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria,4.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,5.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__,4.0,0.0,0.0,9.0,7.0,3.0,0.0,174.0,2.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Catellatospora,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Luedemannella,1.0,1.0,0.0,3.0,6.0,6.0,1.0,17.0,1.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Nakamurellales;f__Nakamurellaceae;g__Nakamurella,4.0,1.0,0.0,3.0,0.0,0.0,4.0,9.0,4.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__,1.0,0.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola,1.0,0.0,0.0,7.0,0.0,0.0,0.0,67.0,2.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,20.0,5.0,2.0,68.0,9.0,12.0,19.0,60.0,15.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__;g__,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__,210.0,0.0,194.0,3.0,1.0,1.0,2.0,3.0,68.0,10.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,12.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__;g__,328.0,210.0,185.0,384.0,335.0,110.0,412.0,332.0,256.0,264.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__Gaiellaceae;g__,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__Gaiellaceae;g__Gaiella,169.0,73.0,99.0,229.0,122.0,43.0,180.0,162.0,115.0,154.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter,1.0,12.0,1.0,3.0,8.0,5.0,9.0,3.0,1.0,2.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__;f__;g__,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__,46.0,9.0,21.0,39.0,37.0,17.0,34.0,68.0,25.0,31.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter,20.0,5.0,4.0,33.0,9.0,11.0,20.0,38.0,4.0,33.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__,5.0,1.0,2.0,1.0,3.0,2.0,2.0,12.0,1.0,2.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter,1.0,2.0,0.0,7.0,1.0,1.0,1.0,13.0,1.0,0.0
sk__Bacteria;p__Armatimonadetes;c__;o__;f__;g__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__;o__;f__;g__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__;g__,6.0,2.0,0.0,115.0,9.0,0.0,4.0,15.0,0.0,57.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas,23.0,19.0,3.0,181.0,38.0,0.0,40.0,51.0,3.0,76.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas,23.0,19.0,3.0,181.0,38.0,0.0,40.0,51.0,3.0,76.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__;g__,15.0,12.0,12.0,6.0,17.0,8.0,39.0,17.0,2.0,4.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas,12.0,4.0,4.0,16.0,15.0,4.0,20.0,13.0,3.0,13.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__;g__,3.0,1.0,1.0,4.0,9.0,0.0,5.0,8.0,1.0,8.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__,62.0,34.0,10.0,260.0,115.0,26.0,67.0,204.0,30.0,145.0
sk__Bacteria;p__Bacteroidetes;c__;o__;f__;g__,202.0,14.0,150.0,80.0,30.0,14.0,16.0,37.0,174.0,23.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__,5.0,6.0,0.0,18.0,11.0,8.0,11.0,9.0,0.0,65.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__;f__;g__,97.0,2.0,17.0,0.0,1.0,0.0,0.0,4.0,56.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__;g__,191.0,170.0,84.0,392.0,202.0,104.0,223.0,292.0,82.0,278.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__,1000.0,314.0,252.0,788.0,424.0,150.0,549.0,877.0,498.0,708.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga,7.0,0.0,0.0,12.0,2.0,1.0,0.0,193.0,2.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter,45.0,36.0,3.0,194.0,4.0,2.0,45.0,15.0,8.0,38.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter,284.0,120.0,53.0,501.0,142.0,56.0,165.0,539.0,102.0,529.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Filimonas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flaviaesturariibacter,2.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter,3.0,0.0,0.0,6.0,0.0,0.0,0.0,51.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Lacibacter,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Pseudoflavitalea,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium,4.0,7.0,1.0,29.0,8.0,9.0,7.0,8.0,2.0,28.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter,5.0,0.0,0.0,6.0,0.0,0.0,1.0,68.0,0.0,9.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas,536.0,308.0,147.0,587.0,429.0,227.0,729.0,636.0,252.0,592.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas,536.0,308.0,147.0,587.0,429.0,227.0,729.0,636.0,252.0,592.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas,536.0,308.0,147.0,587.0,429.0,227.0,729.0,636.0,252.0,592.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__;g__,3.0,11.0,0.0,66.0,22.0,2.0,17.0,40.0,4.0,88.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__;g__Chryseolinea,15.0,31.0,6.0,42.0,49.0,13.0,20.0,11.0,2.0,35.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__,17.0,0.0,9.0,18.0,3.0,3.0,2.0,76.0,4.0,11.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Cytophaga,4.0,6.0,0.0,32.0,6.0,0.0,2.0,7.0,0.0,21.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter,1.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Emticicia,11.0,24.0,7.0,78.0,6.0,4.0,35.0,18.0,0.0,3.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Fibrella,2.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma,2.0,0.0,0.0,1.0,0.0,0.0,1.0,102.0,15.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Sporocytophaga,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__,18.0,1.0,17.0,19.0,9.0,1.0,3.0,424.0,47.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Adhaeribacter,18.0,0.0,3.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter,22.0,1.0,37.0,54.0,10.0,3.0,8.0,1865.0,182.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Microscillaceae;g__,40.0,241.0,9.0,746.0,386.0,121.0,95.0,135.0,11.0,548.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__;f__;g__,24.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__,58.0,19.0,53.0,177.0,37.0,13.0,27.0,78.0,39.0,96.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola,12.0,6.0,0.0,9.0,4.0,9.0,2.0,6.0,1.0,20.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__,478.0,0.0,396.0,15.0,14.0,37.0,1.0,41.0,222.0,9.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium,125.0,0.0,136.0,0.0,0.0,0.0,0.0,2.0,65.0,5.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Citreitalea,56.0,0.0,32.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,4318.0,62.0,15682.0,473.0,209.0,299.0,52.0,499.0,9591.0,101.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,4318.0,62.0,15682.0,473.0,209.0,299.0,52.0,499.0,9591.0,101.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__;g__,42.0,28.0,9.0,194.0,45.0,9.0,46.0,67.0,10.0,52.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__,36.0,26.0,17.0,126.0,52.0,16.0,101.0,63.0,55.0,102.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Haliscomenobacter,11.0,0.0,0.0,90.0,5.0,0.0,4.0,7.0,0.0,70.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Phaeodactylibacter,11.0,3.0,3.0,32.0,10.0,5.0,10.0,25.0,4.0,20.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae;g__,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__,245.0,114.0,19.0,753.0,148.0,48.0,138.0,253.0,22.0,335.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__;f__;g__,4.0,20.0,1.0,5.0,16.0,2.0,14.0,8.0,0.0,5.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__,297.0,525.0,76.0,1010.0,550.0,360.0,390.0,388.0,95.0,1172.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__,135.0,10.0,168.0,6.0,15.0,9.0,1.0,67.0,30.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter,3.0,1.0,4.0,20.0,0.0,0.0,1.0,15.0,1.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter,18.0,0.0,4.0,2.0,1.0,0.0,0.0,25.0,5.0,0.0
sk__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae;g__,3.0,6.0,0.0,1.0,14.0,9.0,17.0,11.0,0.0,2.0
sk__Bacteria;p__Candidatus Azambacteria;c__;o__;f__;g__,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
