order,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__,456.0,430.0,115.0,720.0,480.0,244.0,1064.0,609.0,596.0,794.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,1179.0,1290.0,504.0,1358.0,1447.0,790.0,2779.0,1262.0,1388.0,1661.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,1179.0,1290.0,504.0,1358.0,1447.0,790.0,2779.0,1262.0,1388.0,1661.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,1179.0,1290.0,504.0,1358.0,1447.0,790.0,2779.0,1262.0,1388.0,1661.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,1179.0,1290.0,504.0,1358.0,1447.0,790.0,2779.0,1262.0,1388.0,1661.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__,128.0,104.0,73.0,116.0,100.0,18.0,176.0,77.0,72.0,60.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,7.0,19.0,11.0,6.0,17.0,8.0,17.0,14.0,5.0,13.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,7.0,19.0,11.0,6.0,17.0,8.0,17.0,14.0,5.0,13.0
sk__Bacteria;p__Acidobacteria;c__;o__,6767.0,11443.0,3223.0,9088.0,15859.0,5559.0,17974.0,7922.0,5550.0,7326.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,1068.0,394.0,224.0,1704.0,985.0,325.0,888.0,1293.0,284.0,1632.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,1068.0,394.0,224.0,1704.0,985.0,325.0,888.0,1293.0,284.0,1632.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,1068.0,394.0,224.0,1704.0,985.0,325.0,888.0,1293.0,284.0,1632.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,1068.0,394.0,224.0,1704.0,985.0,325.0,888.0,1293.0,284.0,1632.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,1068.0,394.0,224.0,1704.0,985.0,325.0,888.0,1293.0,284.0,1632.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__,441.0,232.0,224.0,659.0,471.0,127.0,521.0,671.0,329.0,473.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,20.0,2.0,6.0,64.0,6.0,3.0,9.0,22.0,8.0,33.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,20.0,2.0,6.0,64.0,6.0,3.0,9.0,22.0,8.0,33.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,20.0,2.0,6.0,64.0,6.0,3.0,9.0,22.0,8.0,33.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales,18.0,10.0,9.0,18.0,13.0,2.0,26.0,93.0,9.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales,18.0,10.0,9.0,18.0,13.0,2.0,26.0,93.0,9.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales,18.0,10.0,9.0,18.0,13.0,2.0,26.0,93.0,9.0,11.0
sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera,7.0,6.0,5.0,12.0,16.0,3.0,17.0,42.0,20.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales,10.0,4.0,1.0,23.0,7.0,0.0,5.0,62.0,1.0,8.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales,8.0,6.0,4.0,18.0,7.0,2.0,28.0,33.0,13.0,12.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales,10.0,4.0,1.0,23.0,7.0,0.0,5.0,62.0,1.0,8.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales,8.0,26.0,2.0,135.0,81.0,25.0,90.0,75.0,9.0,16.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales,4.0,1.0,3.0,9.0,1.0,0.0,2.0,33.0,7.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales,4.0,1.0,3.0,9.0,1.0,0.0,2.0,33.0,7.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales,126.0,47.0,18.0,350.0,102.0,12.0,157.0,328.0,116.0,291.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales,126.0,47.0,18.0,350.0,102.0,12.0,157.0,328.0,116.0,291.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,764.0,67.0,732.0,773.0,125.0,162.0,205.0,1596.0,4926.0,129.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales,6.0,1.0,0.0,12.0,16.0,10.0,1.0,320.0,3.0,3.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales,6.0,1.0,0.0,12.0,16.0,10.0,1.0,320.0,3.0,3.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales,6.0,1.0,0.0,12.0,16.0,10.0,1.0,320.0,3.0,3.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Nakamurellales,4.0,1.0,0.0,3.0,0.0,0.0,4.0,9.0,4.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales,22.0,5.0,2.0,79.0,9.0,13.0,19.0,141.0,17.0,12.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales,22.0,5.0,2.0,79.0,9.0,13.0,19.0,141.0,17.0,12.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales,22.0,5.0,2.0,79.0,9.0,13.0,19.0,141.0,17.0,12.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales,225.0,0.0,195.0,5.0,1.0,1.0,7.0,5.0,68.0,10.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales,225.0,0.0,195.0,5.0,1.0,1.0,7.0,5.0,68.0,10.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales,225.0,0.0,195.0,5.0,1.0,1.0,7.0,5.0,68.0,10.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales,499.0,284.0,284.0,613.0,458.0,153.0,594.0,495.0,372.0,418.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales,499.0,284.0,284.0,613.0,458.0,153.0,594.0,495.0,372.0,418.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales,499.0,284.0,284.0,613.0,458.0,153.0,594.0,495.0,372.0,418.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales,1.0,14.0,1.0,32.0,18.0,5.0,10.0,3.0,1.0,25.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales,72.0,17.0,27.0,80.0,50.0,31.0,59.0,133.0,31.0,67.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales,72.0,17.0,27.0,80.0,50.0,31.0,59.0,133.0,31.0,67.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales,72.0,17.0,27.0,80.0,50.0,31.0,59.0,133.0,31.0,67.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales,72.0,17.0,27.0,80.0,50.0,31.0,59.0,133.0,31.0,67.0
sk__Bacteria;p__Armatimonadetes;c__;o__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__;o__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales,29.0,16.0,17.0,23.0,33.0,12.0,59.0,33.0,5.0,22.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales,29.0,16.0,17.0,23.0,33.0,12.0,59.0,33.0,5.0,22.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales,29.0,16.0,17.0,23.0,33.0,12.0,59.0,33.0,5.0,22.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales,65.0,35.0,11.0,264.0,124.0,26.0,72.0,212.0,31.0,153.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales,65.0,35.0,11.0,264.0,124.0,26.0,72.0,212.0,31.0,153.0
sk__Bacteria;p__Bacteroidetes;c__;o__,202.0,14.0,150.0,80.0,30.0,14.0,16.0,37.0,174.0,23.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__,5.0,6.0,0.0,18.0,11.0,8.0,11.0,9.0,0.0,65.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,11.0,6.0,2.0,10.0,4.0,0.0,1.0,7.0,2.0,9.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,11.0,6.0,2.0,10.0,4.0,0.0,1.0,7.0,2.0,9.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,11.0,6.0,2.0,10.0,4.0,0.0,1.0,7.0,2.0,9.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales,2.0,4.0,0.0,5.0,3.0,0.0,5.0,3.0,1.0,5.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__,97.0,2.0,17.0,0.0,1.0,0.0,0.0,4.0,56.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
