family,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__,441.0,232.0,224.0,659.0,471.0,127.0,521.0,671.0,329.0,473.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,20.0,2.0,5.0,53.0,4.0,3.0,9.0,21.0,4.0,29.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,20.0,2.0,5.0,53.0,4.0,3.0,9.0,21.0,4.0,29.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,20.0,2.0,5.0,53.0,4.0,3.0,9.0,21.0,4.0,29.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,535.0,171.0,260.0,372.0,419.0,172.0,575.0,643.0,531.0,296.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,3.0,0.0,6.0,3.0,8.0,0.0,0.0,23.0,1.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,3.0,0.0,6.0,3.0,8.0,0.0,0.0,23.0,1.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,15.0,9.0,3.0,14.0,5.0,2.0,26.0,63.0,8.0,9.0
sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Coccidae,3.0,3.0,2.0,1.0,1.0,2.0,4.0,20.0,9.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__,9.0,3.0,1.0,21.0,6.0,0.0,3.0,43.0,1.0,8.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae,8.0,6.0,4.0,18.0,7.0,2.0,28.0,33.0,13.0,12.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae,1.0,1.0,0.0,2.0,1.0,0.0,2.0,19.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae,8.0,26.0,2.0,135.0,81.0,25.0,90.0,75.0,9.0,16.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae,4.0,1.0,3.0,9.0,1.0,0.0,2.0,33.0,7.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae,4.0,1.0,3.0,9.0,1.0,0.0,2.0,33.0,7.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__,5.0,1.0,0.0,21.0,2.0,0.0,5.0,11.0,7.0,18.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae,121.0,46.0,18.0,329.0,100.0,12.0,152.0,317.0,109.0,273.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__,175.0,39.0,195.0,403.0,37.0,38.0,67.0,394.0,1203.0,33.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae,8.0,1.0,1.0,0.0,3.0,4.0,2.0,5.0,9.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae,67.0,3.0,5.0,89.0,24.0,32.0,17.0,226.0,50.0,9.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae,67.0,3.0,5.0,89.0,24.0,32.0,17.0,226.0,50.0,9.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,13.0,14.0,14.0,98.0,8.0,4.0,20.0,61.0,32.0,31.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae,501.0,10.0,517.0,176.0,53.0,84.0,98.0,906.0,3630.0,55.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae,501.0,10.0,517.0,176.0,53.0,84.0,98.0,906.0,3630.0,55.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae,501.0,10.0,517.0,176.0,53.0,84.0,98.0,906.0,3630.0,55.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae,6.0,1.0,0.0,12.0,16.0,10.0,1.0,319.0,3.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae,6.0,1.0,0.0,12.0,16.0,10.0,1.0,319.0,3.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae,6.0,1.0,0.0,12.0,16.0,10.0,1.0,319.0,3.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Nakamurellales;f__Nakamurellaceae,4.0,1.0,0.0,3.0,0.0,0.0,4.0,9.0,4.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae,22.0,5.0,2.0,79.0,9.0,13.0,19.0,140.0,17.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae,22.0,5.0,2.0,79.0,9.0,13.0,19.0,140.0,17.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae,22.0,5.0,2.0,79.0,9.0,13.0,19.0,140.0,17.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae,222.0,0.0,195.0,5.0,1.0,1.0,7.0,5.0,68.0,10.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae,222.0,0.0,195.0,5.0,1.0,1.0,7.0,5.0,68.0,10.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__,328.0,210.0,185.0,384.0,335.0,110.0,412.0,332.0,256.0,264.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__Gaiellaceae,171.0,74.0,99.0,229.0,123.0,43.0,182.0,163.0,116.0,154.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__Gaiellaceae,171.0,74.0,99.0,229.0,123.0,43.0,182.0,163.0,116.0,154.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae,1.0,13.0,1.0,24.0,13.0,5.0,9.0,3.0,1.0,14.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__;f__,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__,46.0,9.0,21.0,39.0,37.0,17.0,34.0,68.0,25.0,31.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae,20.0,5.0,4.0,33.0,9.0,11.0,22.0,39.0,4.0,34.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae,6.0,3.0,2.0,8.0,4.0,3.0,3.0,25.0,2.0,2.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae,6.0,3.0,2.0,8.0,4.0,3.0,3.0,25.0,2.0,2.0
sk__Bacteria;p__Armatimonadetes;c__;o__;f__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__;o__;f__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__,6.0,2.0,0.0,115.0,9.0,0.0,4.0,15.0,0.0,57.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,24.0,20.0,3.0,184.0,38.0,0.0,40.0,51.0,3.0,78.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,24.0,20.0,3.0,184.0,38.0,0.0,40.0,51.0,3.0,78.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,24.0,20.0,3.0,184.0,38.0,0.0,40.0,51.0,3.0,78.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__,15.0,12.0,12.0,6.0,17.0,8.0,39.0,17.0,2.0,4.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae,14.0,4.0,5.0,17.0,16.0,4.0,20.0,16.0,3.0,18.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae,14.0,4.0,5.0,17.0,16.0,4.0,20.0,16.0,3.0,18.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__,3.0,1.0,1.0,4.0,9.0,0.0,5.0,8.0,1.0,8.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae,62.0,34.0,10.0,260.0,115.0,26.0,67.0,204.0,30.0,145.0
sk__Bacteria;p__Bacteroidetes;c__;o__;f__,202.0,14.0,150.0,80.0,30.0,14.0,16.0,37.0,174.0,23.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__,5.0,6.0,0.0,18.0,11.0,8.0,11.0,9.0,0.0,65.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__;f__,97.0,2.0,17.0,0.0,1.0,0.0,0.0,4.0,56.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__,191.0,170.0,84.0,392.0,202.0,104.0,223.0,292.0,82.0,278.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae,1894.0,786.0,457.0,2129.0,1011.0,447.0,1499.0,2419.0,865.0,1909.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__,18.0,42.0,6.0,108.0,71.0,15.0,37.0,51.0,6.0,123.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__,18.0,42.0,6.0,108.0,71.0,15.0,37.0,51.0,6.0,123.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,39.0,36.0,26.0,173.0,17.0,12.0,46.0,218.0,20.0,46.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,39.0,36.0,26.0,173.0,17.0,12.0,46.0,218.0,20.0,46.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,39.0,36.0,26.0,173.0,17.0,12.0,46.0,218.0,20.0,46.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,39.0,36.0,26.0,173.0,17.0,12.0,46.0,218.0,20.0,46.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,39.0,36.0,26.0,173.0,17.0,12.0,46.0,218.0,20.0,46.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,39.0,36.0,26.0,173.0,17.0,12.0,46.0,218.0,20.0,46.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,39.0,36.0,26.0,173.0,17.0,12.0,46.0,218.0,20.0,46.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae,58.0,3.0,57.0,78.0,19.0,4.0,11.0,2301.0,229.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae,58.0,3.0,57.0,78.0,19.0,4.0,11.0,2301.0,229.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae,58.0,3.0,57.0,78.0,19.0,4.0,11.0,2301.0,229.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Microscillaceae,40.0,241.0,9.0,746.0,386.0,121.0,95.0,135.0,11.0,548.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__;f__,24.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__,58.0,19.0,53.0,177.0,37.0,13.0,27.0,78.0,39.0,96.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae,12.0,6.0,0.0,11.0,4.0,9.0,3.0,6.0,1.0,27.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,4977.0,62.0,16246.0,490.0,226.0,338.0,53.0,544.0,9886.0,115.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,4977.0,62.0,16246.0,490.0,226.0,338.0,53.0,544.0,9886.0,115.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,4977.0,62.0,16246.0,490.0,226.0,338.0,53.0,544.0,9886.0,115.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,4977.0,62.0,16246.0,490.0,226.0,338.0,53.0,544.0,9886.0,115.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,4977.0,62.0,16246.0,490.0,226.0,338.0,53.0,544.0,9886.0,115.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__,42.0,28.0,9.0,194.0,45.0,9.0,46.0,67.0,10.0,52.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae,58.0,29.0,20.0,248.0,67.0,21.0,115.0,95.0,59.0,192.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae,58.0,29.0,20.0,248.0,67.0,21.0,115.0,95.0,59.0,192.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae,58.0,29.0,20.0,248.0,67.0,21.0,115.0,95.0,59.0,192.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae,245.0,118.0,19.0,762.0,156.0,51.0,141.0,253.0,22.0,341.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__;f__,4.0,20.0,1.0,5.0,16.0,2.0,14.0,8.0,0.0,5.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__,297.0,525.0,76.0,1010.0,550.0,360.0,390.0,388.0,95.0,1172.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,156.0,12.0,176.0,28.0,16.0,9.0,3.0,107.0,36.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,156.0,12.0,176.0,28.0,16.0,9.0,3.0,107.0,36.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,156.0,12.0,176.0,28.0,16.0,9.0,3.0,107.0,36.0,1.0
sk__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae,3.0,6.0,0.0,1.0,14.0,9.0,17.0,11.0,0.0,2.0
sk__Bacteria;p__Candidatus Azambacteria;c__;o__;f__,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
sk__Bacteria;p__Candidatus Campbellbacteria;c__;o__;f__,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0
sk__Bacteria;p__Candidatus Kaiserbacteria;c__;o__;f__,4.0,3.0,2.0,11.0,6.0,1.0,7.0,8.0,1.0,2.0
sk__Bacteria;p__Candidatus Komeilibacteria;c__;o__;f__,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Candidatus Lloydbacteria;c__;o__;f__,1.0,2.0,1.0,5.0,8.0,7.0,6.0,9.0,1.0,4.0
sk__Bacteria;p__Candidatus Magasanikbacteria;c__;o__;f__,1.0,3.0,1.0,1.0,8.0,5.0,6.0,2.0,0.0,2.0
sk__Bacteria;p__Candidatus Nomurabacteria;c__;o__;f__,6.0,7.0,0.0,6.0,4.0,2.0,15.0,10.0,0.0,5.0
sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Parcubacteria;c__;o__;f__,4.0,5.0,1.0,3.0,21.0,15.0,15.0,8.0,4.0,2.0
sk__Bacteria;p__Candidatus Peregrinibacteria;c__;o__;f__,1.0,3.0,1.0,1.0,1.0,6.0,5.0,4.0,0.0,0.0
