species,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Archaea;p__;c__;o__;f__;g__;s__,19.0,63.0,10.0,45.0,69.0,38.0,39.0,40.0,10.0,40.0
sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__;s__,83.0,187.0,35.0,175.0,255.0,172.0,267.0,130.0,80.0,328.0
sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__;s__,83.0,187.0,35.0,175.0,255.0,172.0,267.0,130.0,80.0,328.0
sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
sk__Bacteria;p__;c__;o__;f__;g__;s__,5178.0,3101.0,2364.0,3308.0,3605.0,2175.0,3224.0,2775.0,4697.0,2558.0
sk__Bacteria;p__;c__;o__;f__;g__;s__agricultural soil bacterium SC-I-11,9.0,1.0,1.0,1.0,8.0,7.0,3.0,5.0,13.0,6.0
sk__Bacteria;p__;c__;o__;f__;g__;s__bacterium endosymbiont of Mortierella elongata,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sk__Bacteria;p__;c__;o__;f__;g__;s__,5178.0,3101.0,2364.0,3308.0,3605.0,2175.0,3224.0,2775.0,4697.0,2558.0
sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__,6766.0,11443.0,3223.0,9088.0,15857.0,5559.0,17973.0,7922.0,5549.0,7326.0
sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria bacterium WWH4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Luteitalea;s__,4.0,3.0,0.0,3.0,2.0,1.0,7.0,2.0,2.0,1.0
