,superkingdom,phylum,class,order,family,genus,species
sk__Archaea,sk__Archaea,sk__Archaea;p__,sk__Archaea;p__;c__,sk__Archaea;p__;c__;o__,sk__Archaea;p__;c__;o__;f__,sk__Archaea;p__;c__;o__;f__;g__,sk__Archaea;p__;c__;o__;f__;g__;s__
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,sk__Archaea,sk__Archaea;p__Thaumarchaeota,sk__Archaea;p__Thaumarchaeota;c__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__;s__
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosoarchaeum,sk__Archaea,sk__Archaea;p__Thaumarchaeota,sk__Archaea;p__Thaumarchaeota;c__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__;s__
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae,sk__Archaea,sk__Archaea;p__Thaumarchaeota,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__
sk__Bacteria,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__agricultural_soil_bacterium_SC-I-11,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__agricultural soil bacterium SC-I-11
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_endosymbiont_of_Mortierella_elongata,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__bacterium endosymbiont of Mortierella elongata
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_auto84_4W,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__,sk__Bacteria;p__Acidobacteria;c__;o__,sk__Bacteria;p__Acidobacteria;c__;o__;f__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_WWH4,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__,sk__Bacteria;p__Acidobacteria;c__;o__,sk__Bacteria;p__Acidobacteria;c__;o__;f__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria bacterium WWH4
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__Luteitalea,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Luteitalea,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Luteitalea;s__
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__;f__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium_sp._WY65,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium sp. WY65
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Aridibacter,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Blastocatella,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Stenotrophobacter,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__Pyrinomonadaceae,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__,sk__Bacteria;p__Acidobacteria;c__;o__,sk__Bacteria;p__Acidobacteria;c__;o__;f__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Bryobacter,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Paludibaculum,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus Solibacter,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
sk__Bacteria;k__;p__Actinobacteria,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans;s__Aquihabitans_daechungensis,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans;s__Aquihabitans daechungensis
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium_YJF1-30,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium YJF1-30
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus,sk__Eukaryota,sk__Eukaryota;p__Arthropoda,sk__Eukaryota;p__Arthropoda;c__Insecta,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Coccidae,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Coccidae;g__Rhodococcus,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Coccidae;g__Rhodococcus;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Cryptosporangiaceae;g__Fodinicola,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae;g__Fodinicola,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae;g__Fodinicola;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__;s__
