taxonomy,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769,superkingdom,phylum,class,order,family,genus,species
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Blastopirellula,75.0,88.0,33.0,85.0,79.0,93.0,152.0,48.0,56.0,104.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula,331.0,294.0,37.0,725.0,440.0,163.0,481.0,321.0,133.0,1182.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Pirellula,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Pirellula;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomicrobium,14.0,24.0,5.0,9.0,14.0,12.0,30.0,10.0,9.0,6.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomicrobium,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomicrobium;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces,18.0,20.0,9.0,7.0,17.0,16.0,41.0,24.0,19.0,11.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctopirus,3.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctopirus,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctopirus;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Rhodopirellula,18.0,29.0,2.0,36.0,26.0,12.0,29.0,11.0,16.0,80.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria,45.0,134.0,2.0,209.0,135.0,25.0,37.0,29.0,1.0,214.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria;s__
sk__Bacteria;k__;p__Proteobacteria,5796.0,331.0,1654.0,1222.0,631.0,298.0,488.0,1434.0,3043.0,809.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__,sk__Bacteria;p__Proteobacteria;c__;o__,sk__Bacteria;p__Proteobacteria;c__;o__;f__,sk__Bacteria;p__Proteobacteria;c__;o__;f__;g__,sk__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria,619.0,810.0,214.0,1372.0,1151.0,243.0,925.0,1660.0,276.0,959.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__Alphaproteobacteria_bacterium,4.0,10.0,0.0,69.0,5.0,0.0,4.0,11.0,0.0,6.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__Alphaproteobacteria bacterium
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Phreatobacter,3.0,0.0,0.0,8.0,2.0,3.0,3.0,7.0,3.0,4.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Phreatobacter,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Phreatobacter;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Rhodovarius,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodovarius,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodovarius;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,2.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,47.0,18.0,27.0,40.0,27.0,8.0,25.0,62.0,71.0,15.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis,3.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,17.0,1.0,10.0,9.0,0.0,2.0,2.0,70.0,35.0,1.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter,2.0,0.0,1.0,11.0,1.0,0.0,3.0,10.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium,9.0,3.0,0.0,95.0,11.0,1.0,3.0,43.0,1.0,31.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,2.0,7.0,6.0,3.0,7.0,3.0,14.0,1.0,7.0,9.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae;g__Candidatus_Finniella,1.0,1.0,1.0,39.0,3.0,0.0,3.0,21.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Finniella,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Finniella;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae;g__Candidatus_Finniella;s__Candidatus_Finniella_inopinata,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Finniella,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Finniella;s__Candidatus Finniella inopinata
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae;g__Candidatus_Paracaedibacter,24.0,13.0,5.0,43.0,88.0,8.0,32.0,92.0,6.0,34.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Paracaedibacter,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Paracaedibacter;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae,15.0,8.0,7.0,15.0,18.0,4.0,25.0,34.0,17.0,42.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae,64.0,76.0,20.0,104.0,197.0,40.0,73.0,126.0,25.0,127.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Amphiplicatus,56.0,44.0,27.0,140.0,60.0,15.0,83.0,57.0,80.0,64.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Amphiplicatus,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Amphiplicatus;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,2206.0,1826.0,835.0,5001.0,3049.0,849.0,3316.0,3459.0,1777.0,3418.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Bauldia,71.0,62.0,43.0,85.0,96.0,47.0,93.0,91.0,72.0,45.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Bauldia,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Bauldia;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Nordella,265.0,162.0,89.0,441.0,303.0,119.0,385.0,438.0,242.0,266.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Nordella,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Nordella;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Pseudorhodoplanes,34.0,116.0,17.0,301.0,564.0,107.0,178.0,463.0,28.0,206.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Pseudorhodoplanes,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Pseudorhodoplanes;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,44.0,11.0,7.0,307.0,34.0,7.0,34.0,135.0,12.0,12.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Beijerinckia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Beijerinckia,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Beijerinckia;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylorosula,8.0,6.0,0.0,105.0,1.0,1.0,18.0,56.0,3.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylorosula,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylorosula;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae,29.0,7.0,4.0,53.0,15.0,3.0,17.0,252.0,13.0,15.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__;s__
