taxonomy,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769,superkingdom,phylum,class,order,family,genus,species
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__Luteitalea,4.0,3.0,0.0,3.0,2.0,1.0,7.0,2.0,2.0,1.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Luteitalea,sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Luteitalea;s__
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia,49.0,155.0,36.0,139.0,264.0,78.0,163.0,85.0,8.0,43.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__;f__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,62.0,19.0,10.0,56.0,71.0,33.0,52.0,87.0,31.0,72.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium_sp._WY65,8.0,5.0,4.0,17.0,6.0,0.0,10.0,18.0,6.0,11.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium sp. WY65
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia,456.0,430.0,115.0,720.0,480.0,244.0,1064.0,609.0,596.0,793.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Aridibacter,235.0,164.0,39.0,291.0,150.0,89.0,484.0,164.0,246.0,441.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Blastocatella,64.0,69.0,26.0,78.0,33.0,20.0,115.0,155.0,77.0,99.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Stenotrophobacter,172.0,173.0,60.0,286.0,71.0,65.0,357.0,88.0,214.0,258.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter;s__
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__Pyrinomonadaceae,708.0,884.0,379.0,703.0,1193.0,616.0,1823.0,855.0,851.0,863.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae,128.0,104.0,73.0,116.0,100.0,18.0,176.0,77.0,72.0,60.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__
