#SampleID	ERZ477442	ERZ477443	ERZ477444	ERZ477445	ERZ477446	ERZ477447	ERZ477448	ERZ477449	ERZ477450	ERZ477451	ERZ477452	ERZ477453	ERZ477454
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella_secunda	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	2.0	0	0	0	2.0	1.0	1.0	0	0	0	0	0	2.0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis	0	0	0	2.0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	2.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_piger	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophorhabdaceae;g__Syntrophorhabdus	0	1.0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria	0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	2.0	1.0	2.0	1.0	0	2.0	0	0	0	2.0	1.0	0	1.0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli	1.0	0	0	0	1.0	0	0	0	0	1.0	1.0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	0	0	0	0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Tenericutes;c__Mollicutes	0	1.0	0	0	0	4.0	4.0	2.0	0	0	0	7.0	0
sk__Bacteria;k__;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma	0	0	0	0	0	0	0	0	0	0	0	2.0	0
sk__Bacteria;k__;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	1.0	1.0	0	1.0	1.0	0	1.0	1.0	4.0	0	0	1.0	1.0
sk__Bacteria;k__;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila	0	0	0	1.0	0	0	0	0	0	0	0	0	0
sk__Eukaryota	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Eukaryota;k__;p__;c__;o__;f__;g__Blastocystis	0	0	2.0	0	0	3.0	2.0	0	2.0	0	0	2.0	0
sk__Eukaryota;k__;p__;c__;o__;f__;g__Blastocystis;s__Blastocystis_sp._MKJ04-30	0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__;o__Tritrichomonadida;f__Dientamoebidae;g__Dientamoeba;s__Dientamoeba_fragilis	0	0	0	0	0	0	0	0	0	0	0	2.0	0
sk__Eukaryota;k__Fungi	0	0	0	1.0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Fungi;p__Ascomycota	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__;f__;g__Picochlorum	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__;f__;g__Picochlorum;s__Picochlorum_sp._SENEW3	0	0	0	0	1.0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Viridiplantae;p__Streptophyta	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0
