#SampleID	SRR1141250	SRR1143350	SRR1145430	SRR1145431	SRR1143324	SRR1145435	SRR1145427	SRR1145428	SRR1141249	SRR1143339	SRR1145429
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus	0	0	0	0	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	3	9	1	0	2	0	0	17	0	0	7
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales	529	8	145	0	397	0	8	237	458	3	159
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae	198	4	82	0	172	0	3	127	215	2	72
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	3332	131	1844	0	2334	0	78	1890	3397	36	1377
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum	120	1	82	0	60	0	0	116	81	1	70
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum;s__Paludibaculum_fermentans	0	0	0	0	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae	227	7	83	0	163	0	4	119	224	1	80
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus_Solibacter	4211	49	1970	0	2682	0	30	1692	4118	11	1259
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia	4	1	0	0	4	0	1	0	6	0	1
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales	238	27	18	0	155	0	31	57	181	8	30
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	3477	1334	309	0	1381	0	752	298	2464	348	203
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter	36	2	0	0	16	0	0	1	26	3	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella	1153	52	439	0	568	0	36	421	1126	9	446
