#SampleID	OBCV01	OBCY01	OBCZ01	OBDA01	OBDB01	OBDJ01	OBDK01	OBDM01	OBDN01	OCLZ01	OCMB01	OCMD01	OCME01	OIEC01	OIEE01	OIEF01	OIEG01	OIEH01	OIEI01	OIEL01	OIEM01	OIEN01	OKVE01	OKVF01	OKVH01	OKVK01	OKVP01
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	2.0	2.0	2.0	2.0	7.0	3.0	9.0	1.0	3.0	2.0	1.0	1.0	4.0	0	1.0	0	2.0	2.0	1.0	1.0	2.0	3.0	2.0	3.0	1.0	0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0	0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	0	0	1.0	1.0	0	1.0	1.0	0	0	0	2.0	0	1.0	0	0	0	1.0	1.0	0	1.0	0	0	1.0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0	0	1.0	0	1.0	0	2.0	1.0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	3.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0	1.0	0	1.0	1.0	0	1.0	0	2.0	0	2.0	6.0	1.0	1.0	0	2.0	0	0	0	0	0	1.0	0	0	0	1.0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Massiliprevotella;s__Massiliprevotella_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0	0	1.0	0	0	0	2.0	0	0	0	1.0	1.0	1.0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0	2.0	0	0	2.0	0	1.0	2.0	2.0	0	0	1.0	0	0	0	1.0	0	1.0	3.0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1.0	4.0	1.0	1.0	1.0	1.0	3.0	3.0	0	1.0	3.0	1.0	1.0	0	1.0	0	1.0	1.0	1.0	2.0	1.0	0	1.0	1.0	2.0	2.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0
