epoch,loss,output_1_acc,output_1_loss,output_2_acc,output_2_loss,output_3_acc,output_3_loss,output_4_acc,output_4_loss,output_5_acc,output_5_loss,output_6_acc,output_6_loss,val_loss,val_output_1_acc,val_output_1_loss,val_output_2_acc,val_output_2_loss,val_output_3_acc,val_output_3_loss,val_output_4_acc,val_output_4_loss,val_output_5_acc,val_output_5_loss,val_output_6_acc,val_output_6_loss
0,1004.9234619140625,0.9859374761581421,0.1959782838821411,0.7358202934265137,0.766283392906189,0.5161816477775574,2.2495954036712646,0.48213866353034973,2.9201037883758545,0.3005957007408142,7.695280075073242,0.23376953601837158,10.83886432647705,1202.030029296875,1.0,0.10515357553958893,0.7166887521743774,0.8352289199829102,0.49340391159057617,2.257828950881958,0.425052285194397,3.0984909534454346,0.31635570526123047,11.019044876098633,0.2357511818408966,10.914318084716797
1,1189.3115234375,1.0,0.0651325210928917,0.7415722608566284,0.6883116364479065,0.5547265410423279,2.0960869789123535,0.47826170921325684,2.8677892684936523,0.3150878846645355,11.0394287109375,0.23723632097244263,10.767367362976074,1216.3660888671875,1.0,0.041758231818675995,0.741237223148346,0.8627431392669678,0.2567561864852905,2.43788480758667,0.19643086194992065,3.5021729469299316,0.31635570526123047,11.019044876098633,0.23494002223014832,10.996143341064453
2,1183.388916015625,1.0,0.04095769301056862,0.7475976347923279,0.6318120360374451,0.5749707221984863,1.9967164993286133,0.4955175817012787,2.775007963180542,0.3150683641433716,11.039437294006348,0.2379785180091858,10.7068510055542,1220.9881591796875,1.0,0.01660974510014057,0.3098236918449402,1.016784429550171,0.21342270076274872,2.6973390579223633,0.18106135725975037,3.6992344856262207,0.31635570526123047,11.019044876098633,0.23600734770298004,10.934646606445312
3,1172.14453125,1.0,0.02906539849936962,0.7649707198143005,0.5753819942474365,0.591748058795929,1.9045913219451904,0.5047656297683716,2.4854583740234375,0.3150683641433716,11.039504051208496,0.24109375476837158,10.626254081726074,1182.6038818359375,1.0,0.012362275272607803,0.6556376218795776,0.7686097025871277,0.40404731035232544,2.3899099826812744,0.34487470984458923,2.190962791442871,0.31635570526123047,11.019044876098633,0.23617811501026154,10.934982299804688
4,1142.0450439453125,1.0,0.024579772725701332,0.7520703077316284,0.6133996248245239,0.5441601276397705,1.8998297452926636,0.44242188334465027,2.5358028411865234,0.3150878846645355,11.039482116699219,0.29862305521965027,9.912647247314453,987.401123046875,1.0,0.08852280676364899,0.3613969087600708,0.9865728616714478,0.14899884164333344,2.857510805130005,0.14942577481269836,3.397993803024292,0.31635570526123047,11.019044876098633,0.63856041431427,5.754362106323242
5,958.8474731445312,1.0,0.02117253839969635,0.7374609112739563,0.6755828857421875,0.439208984375,1.9349502325057983,0.38981446623802185,4.061773300170898,0.31507813930511475,11.03942584991455,0.6350683569908142,4.938171863555908,942.028076171875,1.0,0.0043660239316523075,0.7286854982376099,0.9465130567550659,0.23664774000644684,1.8838139772415161,0.4384579360485077,3.3670496940612793,0.31635570526123047,11.019044876098633,0.63856041431427,4.924744129180908
6,929.1082763671875,1.0,0.015879884362220764,0.7470703125,0.6328367590904236,0.43896484375,1.948698878288269,0.48237305879592896,2.8634417057037354,0.3145800828933716,11.037336349487305,0.6374609470367432,4.893979072570801,944.1510620117188,1.0,0.008591930381953716,0.7411945462226868,0.9298206567764282,0.47252699732780457,1.4810196161270142,0.46936771273612976,3.6504664421081543,0.31635570526123047,11.017916679382324,0.63856041431427,4.901242733001709
7,923.0726318359375,1.0,0.013663236051797867,0.7477734088897705,0.6475945115089417,0.5179980397224426,1.5036321878433228,0.46559569239616394,2.8630945682525635,0.3134765625,10.999200820922852,0.6377734541893005,4.885739326477051,938.345703125,1.0,0.0036351128946989775,0.4355548024177551,0.937446653842926,0.42620500922203064,2.4887163639068604,0.4410195052623749,3.02282977104187,0.31635570526123047,11.01618766784668,0.63856041431427,4.915767192840576
8,928.9979858398438,1.0,0.012610324658453465,0.7473828196525574,0.6553705334663391,0.3887011706829071,2.152548313140869,0.47901368141174316,2.8576996326446533,0.3146679699420929,11.017751693725586,0.6379492282867432,4.880388259887695,943.7431030273438,1.0,0.0018947006901726127,0.4634760618209839,0.8604486584663391,0.06660120189189911,3.5714895725250244,0.4761132299900055,3.0378475189208984,0.31635570526123047,10.985230445861816,0.63856041431427,4.882647514343262
9,922.35986328125,1.0,0.010699475184082985,0.7540234327316284,0.629219651222229,0.44283202290534973,1.7178759574890137,0.49452149868011475,2.782472610473633,0.3147265613079071,11.00500202178955,0.6379199028015137,4.867441177368164,931.0525512695312,1.0,0.0026976654771715403,0.45673057436943054,0.9055470824241638,0.47205737233161926,1.5220329761505127,0.4328651428222656,3.131504774093628,0.31635570526123047,10.971064567565918,0.63856041431427,4.931089401245117
