epoch,l2_acc,l2_loss,l3_acc,l3_loss,l4_acc,l4_loss,l5_acc,l5_loss,l6_acc,l6_loss,loss,val_l2_acc,val_l2_loss,val_l3_acc,val_l3_loss,val_l4_acc,val_l4_loss,val_l5_acc,val_l5_loss,val_l6_acc,val_l6_loss,val_loss
0,0.27855902910232544,10.00283145904541,0.0661892369389534,9.864080429077148,0.027408460155129433,6.913656234741211,0.0006126536172814667,6.199872016906738,0.0027906179893761873,6.0778679847717285,869.70166015625,0.2791992127895355,9.826515197753906,0.07509765774011612,9.376882553100586,0.027789006009697914,6.651115417480469,0.0005382131785154343,5.413670539855957,0.007375381886959076,5.055534362792969,771.822265625
1,0.2714301347732544,9.787878036499023,0.07973090559244156,9.092391967773438,0.03384894132614136,6.301441192626953,0.0011804791865870357,5.382052421569824,0.010204080492258072,4.95891809463501,756.058349609375,0.27031248807907104,9.59425163269043,0.08710937201976776,8.65825080871582,0.036580439656972885,5.842925071716309,0.0016146396519616246,4.935379981994629,0.015259410254657269,4.795534610748291,710.118408203125
2,0.2644856870174408,9.564345359802246,0.09297960251569748,8.388714790344238,0.04280960559844971,5.502111434936523,0.002898898208513856,4.989329814910889,0.01756117306649685,4.23068380355835,679.3466796875,0.26152342557907104,9.405763626098633,0.099609375,8.05273723602295,0.045472919940948486,5.114041328430176,0.0034983856603503227,4.714863300323486,0.021871821954846382,3.682493209838867,628.8806762695312
3,0.2591145932674408,9.31438159942627,0.11140407621860504,7.757779121398926,0.05076221749186516,4.921764373779297,0.005723081529140472,4.672786235809326,0.024890068918466568,3.6232082843780518,617.3148193359375,0.25908201932907104,9.121694564819336,0.12128905951976776,7.390933036804199,0.05487065389752388,4.695584297180176,0.008611410856246948,4.359097957611084,0.025940999388694763,3.5761914253234863,589.4118041992188
4,0.2541883587837219,8.998119354248047,0.13706597685813904,6.9968037605285645,0.061851054430007935,4.533642292022705,0.01110247801989317,4.3735551834106445,0.032951854169368744,3.5298805236816406,581.4141845703125,0.2509765625,8.725140571594238,0.1455078125,6.483689308166504,0.06345998495817184,4.3386735916137695,0.012782564386725426,4.228676795959473,0.038402851670980453,3.5152275562286377,563.6979370117188
5,0.24789497256278992,8.53007698059082,0.16220703721046448,6.142849445343018,0.07307428866624832,4.134711265563965,0.016496824100613594,4.277907371520996,0.04146465286612511,3.4655721187591553,556.6663818359375,0.24941405653953552,8.181082725524902,0.17333984375,5.622647285461426,0.07983024418354034,3.9056217670440674,0.018568357452750206,4.156756401062012,0.04221770167350769,3.4649085998535156,539.7760009765625
6,0.24680989980697632,7.9453511238098145,0.1932508647441864,5.14871072769165,0.09052521735429764,3.672673225402832,0.019694576039910316,4.2059712409973145,0.04758146405220032,3.373453140258789,529.214111328125,0.24599608778953552,7.55087947845459,0.20644530653953552,4.657357215881348,0.09963622689247131,3.47599458694458,0.02179763652384281,4.0846076011657715,0.05289929360151291,3.3726463317871094,513.0386962890625
7,0.24890407919883728,7.278144836425781,0.22180989384651184,4.318148612976074,0.10719206184148788,3.3113131523132324,0.023549800738692284,4.1112871170043945,0.05992783233523369,3.2699663639068604,503.02911376953125,0.2500976622104645,6.853355407714844,0.23320312798023224,4.047235012054443,0.11641067266464233,3.275794267654419,0.027583427727222443,3.9807026386260986,0.0653611421585083,3.276425838470459,491.61724853515625
8,0.2513020932674408,6.421236038208008,0.23924696445465088,3.7880444526672363,0.12351170182228088,3.1300363540649414,0.028465982526540756,3.929677963256836,0.06979364901781082,3.158184051513672,476.92596435546875,0.25634765625,5.942230224609375,0.23261718451976776,3.5622971057891846,0.13267987966537476,3.1232848167419434,0.03148547559976578,3.7415809631347656,0.07299084216356277,3.1800789833068848,463.68914794921875
9,0.26244574785232544,5.48453426361084,0.2299262136220932,3.399716854095459,0.13747915625572205,2.978236675262451,0.031349942088127136,3.6864209175109863,0.07520578056573868,3.026893377304077,447.8533935546875,0.26835936307907104,5.047525882720947,0.22119140625,3.253580093383789,0.14217866957187653,2.975790500640869,0.03511841222643852,3.598896026611328,0.07960325479507446,3.0580906867980957,441.4686584472656
10,0.26933592557907104,4.7479963302612305,0.22089843451976776,3.128614902496338,0.1487359255552292,2.8422956466674805,0.03389021381735802,3.5767757892608643,0.08456423133611679,2.8891305923461914,427.9548034667969,0.2772460877895355,4.409828186035156,0.2119140625,3.0206074714660645,0.1559215784072876,2.841855525970459,0.03646394610404968,3.5327579975128174,0.08875890076160431,2.9223198890686035,424.798583984375
