epoch,loss,output_1_acc,output_1_loss,output_2_acc,output_2_loss,output_3_acc,output_3_loss,output_4_acc,output_4_loss,output_5_acc,output_5_loss,output_6_acc,output_6_loss,val_loss,val_output_1_acc,val_output_1_loss,val_output_2_acc,val_output_2_loss,val_output_3_acc,val_output_3_loss,val_output_4_acc,val_output_4_loss,val_output_5_acc,val_output_5_loss,val_output_6_acc,val_output_6_loss
0,25.617416381835938,0.7733984589576721,0.6043842434883118,0.808837890625,0.8322795033454895,0.6267480254173279,2.317244529724121,0.5653222799301147,3.5542027950286865,0.36125001311302185,7.119099140167236,0.2228125035762787,11.190204620361328,23.989994049072266,0.9360030889511108,0.5822736620903015,0.8527515530586243,0.7458718419075012,0.7997267842292786,2.1899547576904297,0.699611485004425,3.2415480613708496,0.4519062340259552,6.533346652984619,0.28156086802482605,10.696996688842773
1,22.368871688842773,0.900146484375,0.4780137538909912,0.884228527545929,0.6136863231658936,0.796337902545929,2.0575695037841797,0.7333593964576721,2.859797954559326,0.46702149510383606,6.166011810302734,0.2931542992591858,10.1937894821167,20.24468421936035,0.9960722327232361,0.45251861214637756,0.8443410396575928,0.6925365924835205,0.679118812084198,2.1928255558013916,0.6406523585319519,2.8252081871032715,0.3897024393081665,6.349393367767334,0.4174102246761322,7.73220157623291
2,16.016822814941406,0.9195995926856995,0.4323485493659973,0.8846679925918579,0.5323640704154968,0.8047265410423279,1.930037498474121,0.7454003691673279,2.3562753200531006,0.4755566418170929,5.83177375793457,0.579541027545929,4.934023857116699,18.617427825927734,0.9982922673225403,0.4221859872341156,0.7749647498130798,0.7429159283638,0.531400740146637,2.277975082397461,0.5010460019111633,3.1689658164978027,0.2296033799648285,6.162646770477295,0.3184903860092163,5.842737197875977
3,12.358641624450684,0.9414160251617432,0.40033262968063354,0.8713183403015137,0.49817654490470886,0.7877734303474426,1.842806100845337,0.7233300805091858,2.2081708908081055,0.5224609375,3.7856264114379883,0.6341797113418579,3.6235287189483643,10.640933990478516,0.9999573230743408,0.3707796335220337,0.8712376952171326,0.45681527256965637,0.8223114013671875,1.7003940343856812,0.7603210806846619,2.035419464111328,0.6002646684646606,2.7431907653808594,0.6266916990280151,3.3343329429626465
4,9.102402687072754,0.9721484184265137,0.3546369671821594,0.8948535323143005,0.40841418504714966,0.8184863328933716,1.6895517110824585,0.7662402391433716,1.6818127632141113,0.628369152545929,2.2476882934570312,0.7190039157867432,2.720296621322632,8.66406536102295,0.9999573230743408,0.3463844954967499,0.8787943720817566,0.4103364050388336,0.7584852576255798,1.7186466455459595,0.6958118081092834,1.8477671146392822,0.5972762107849121,2.5357651710510254,0.7884131073951721,1.8051661252975464
5,6.257339000701904,0.9808496236801147,0.3321724832057953,0.89501953125,0.38335907459259033,0.8103125095367432,1.6111383438110352,0.7664843797683716,1.1014690399169922,0.6495898365974426,1.5311369895935059,0.7985937595367432,1.2980631589889526,4.887814044952393,1.0,0.30119404196739197,0.9063740968704224,0.3313058614730835,0.8295692205429077,1.4814045429229736,0.7905477285385132,0.8312869668006897,0.6930367350578308,1.1050983667373657,0.835802435874939,0.8375244736671448
6,5.694675445556641,0.9905566573143005,0.3066856265068054,0.8961035013198853,0.3623417019844055,0.804980456829071,1.555519461631775,0.7504492402076721,1.0715155601501465,0.6441797018051147,1.4716376066207886,0.822998046875,0.9269750714302063,5.700265407562256,1.0,0.2908174991607666,0.8821671009063721,0.39307400584220886,0.7713785767555237,1.5848231315612793,0.6983733773231506,1.1707671880722046,0.6013747453689575,1.4488776922225952,0.8284592032432556,0.811905026435852
7,5.019570827484131,0.9976757764816284,0.27794817090034485,0.9124804735183716,0.3170304596424103,0.8269628882408142,1.4569613933563232,0.7862499952316284,0.9058026671409607,0.670605480670929,1.2721351385116577,0.8364453315734863,0.7896941900253296,4.379209518432617,1.0,0.2519536316394806,0.9193954467773438,0.2797381579875946,0.831874668598175,1.390053391456604,0.7864919304847717,0.7880802154541016,0.6916705965995789,1.0211354494094849,0.8561243414878845,0.6482486128807068
8,4.7889299392700195,0.9989355206489563,0.25980961322784424,0.9130859375,0.3046209216117859,0.8224023580551147,1.322770357131958,0.7706835865974426,0.9357501864433289,0.6783886551856995,1.232709527015686,0.8349804878234863,0.7332690358161926,6.401608467102051,1.0,0.23888473212718964,0.8180847764015198,0.49635183811187744,0.6030824184417725,1.4035686254501343,0.5567177534103394,1.821803092956543,0.5492891669273376,1.671321988105774,0.7723605036735535,0.7696776986122131
9,4.296939849853516,0.9992089867591858,0.24284163117408752,0.9130761623382568,0.29753902554512024,0.8333398699760437,0.7875936627388,0.7553027272224426,0.9349220395088196,0.6692870855331421,1.3051049709320068,0.8338574171066284,0.7289400696754456,3.5839931964874268,1.0,0.21393954753875732,0.9167485237121582,0.27068811655044556,0.8586859107017517,0.6218885183334351,0.7929385900497437,0.7333667278289795,0.6865473985671997,1.1126562356948853,0.8508730530738831,0.6314541697502136
10,3.846850872039795,0.999804675579071,0.22314219176769257,0.9248437285423279,0.25923392176628113,0.8623632788658142,0.6389724016189575,0.8007714748382568,0.8111013770103455,0.6871972680091858,1.2146494388580322,0.8388281464576721,0.6997514963150024,3.057309865951538,1.0,0.2036886364221573,0.9357469081878662,0.22329093515872955,0.8851129412651062,0.4895303249359131,0.8344362378120422,0.6607610583305359,0.7182256579399109,0.9501720666885376,0.8556119799613953,0.5298663377761841
11,4.476333141326904,0.9996777176856995,0.2123953253030777,0.9062402248382568,0.29680153727531433,0.8240625262260437,0.7041230797767639,0.7466601729393005,0.9757794141769409,0.5948047041893005,1.5579240322113037,0.8295702934265137,0.7293099761009216,4.155794620513916,1.0,0.18700535595417023,0.9053921103477478,0.27878543734550476,0.830038845539093,0.6498528718948364,0.6706228852272034,1.18656587600708,0.6576442122459412,1.258955717086792,0.8475003242492676,0.5946289896965027
12,4.34202766418457,0.9996289014816284,0.19822204113006592,0.9154199361801147,0.2734328806400299,0.8342089653015137,0.6627647876739502,0.7459179759025574,0.9618317484855652,0.630908191204071,1.4079822301864624,0.8070409893989563,0.8377941846847534,3.7602427005767822,1.0,0.18492737412452698,0.9160227179527283,0.2597527801990509,0.8523673415184021,0.5486909747123718,0.7724885940551758,0.79522305727005,0.6408231258392334,1.2078973054885864,0.7909319996833801,0.7637514472007751
13,3.9879379272460938,1.0,0.1812547743320465,0.9210644364356995,0.2548392415046692,0.845458984375,0.6102930307388306,0.7762500047683716,0.8688970804214478,0.6546386480331421,1.297695517539978,0.8000390529632568,0.7749574184417725,3.233078956604004,1.0,0.1567237377166748,0.9246894121170044,0.23455771803855896,0.8632967472076416,0.49195677042007446,0.8188959360122681,0.704220175743103,0.6768133640289307,1.0445271730422974,0.8313196301460266,0.6010931730270386
14,4.10530948638916,0.9999218583106995,0.1706809252500534,0.9179589748382568,0.25779640674591064,0.8395116925239563,0.6098652482032776,0.7679784893989563,0.892998218536377,0.6422363519668579,1.4325473308563232,0.814013659954071,0.7414209842681885,3.647390604019165,1.0,0.14977651834487915,0.9177731275558472,0.23974652588367462,0.8558254837989807,0.5052613615989685,0.7949451208114624,0.7719182968139648,0.6344618797302246,1.3584308624267578,0.8288007378578186,0.6222562193870544
