,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC,PR-AUC
27,0.9451,0.9644,0.8797,0.9644,0.1203,0.9644,0.7505,0.8395,0.9405,0.9923,0.9618
28,0.9457,0.9644,0.8812,0.9644,0.1188,0.9644,0.7539,0.8419,0.9405,0.9923,0.9618
29,0.9463,0.9644,0.8824,0.9644,0.1176,0.9644,0.7572,0.8442,0.9405,0.9923,0.9618
30,0.9469,0.9641,0.8839,0.9641,0.1161,0.9641,0.7602,0.8462,0.9405,0.9923,0.9618
31,0.9475,0.964,0.8852,0.964,0.1148,0.964,0.7629,0.8481,0.9405,0.9923,0.9618
32,0.9479,0.9632,0.8862,0.9632,0.1138,0.9632,0.7645,0.8489,0.9405,0.9923,0.9618
33,0.9485,0.9627,0.8873,0.9627,0.1127,0.9627,0.7677,0.8509,0.9405,0.9923,0.9618
34,0.9489,0.9626,0.8883,0.9626,0.1117,0.9626,0.7699,0.8523,0.9405,0.9923,0.9618
35,0.9494,0.9626,0.8894,0.9626,0.1106,0.9626,0.7727,0.8542,0.9405,0.9923,0.9618
36,0.9499,0.9623,0.8905,0.9623,0.1095,0.9623,0.7752,0.8558,0.9405,0.9923,0.9618
37,0.9504,0.9618,0.8915,0.9618,0.1085,0.9618,0.7781,0.8576,0.9405,0.9923,0.9618
38,0.9507,0.9618,0.8923,0.9618,0.1077,0.9618,0.7799,0.8588,0.9405,0.9923,0.9618
39,0.9511,0.9617,0.8933,0.9617,0.1067,0.9617,0.7832,0.861,0.9405,0.9923,0.9618
40,0.9515,0.9617,0.8942,0.9617,0.1058,0.9617,0.7854,0.8624,0.9405,0.9923,0.9618
41,0.9519,0.9614,0.8951,0.9614,0.1049,0.9614,0.7879,0.864,0.9405,0.9923,0.9618
42,0.9523,0.9614,0.8958,0.9614,0.1042,0.9614,0.7894,0.865,0.9405,0.9923,0.9618
43,0.9527,0.9613,0.8967,0.9613,0.1033,0.9613,0.7922,0.8667,0.9405,0.9923,0.9618
44,0.9531,0.9611,0.8976,0.9611,0.1024,0.9611,0.7935,0.8675,0.9405,0.9923,0.9618
45,0.9535,0.961,0.8985,0.961,0.1015,0.961,0.7961,0.8691,0.9405,0.9923,0.9618
46,0.9538,0.961,0.8994,0.961,0.1006,0.961,0.7985,0.8706,0.9405,0.9923,0.9618
47,0.9542,0.961,0.9002,0.961,0.0998,0.961,0.8005,0.8719,0.9405,0.9923,0.9618
48,0.9544,0.9607,0.9007,0.9607,0.0993,0.9607,0.8026,0.8731,0.9405,0.9923,0.9618
49,0.9548,0.9604,0.9016,0.9604,0.0984,0.9604,0.8043,0.8741,0.9405,0.9923,0.9618
50,0.9551,0.9604,0.9023,0.9604,0.0977,0.9604,0.806,0.8751,0.9405,0.9923,0.9618
51,0.9554,0.9601,0.903,0.9601,0.097,0.9601,0.8076,0.8761,0.9405,0.9923,0.9618
52,0.9557,0.9601,0.9036,0.9601,0.0964,0.9601,0.8094,0.8772,0.9405,0.9923,0.9618
53,0.956,0.9593,0.9043,0.9593,0.0957,0.9593,0.8111,0.8779,0.9405,0.9923,0.9618
54,0.9563,0.9589,0.905,0.9589,0.095,0.9589,0.8125,0.8786,0.9405,0.9923,0.9618
55,0.9566,0.9589,0.9057,0.9589,0.0943,0.9589,0.8142,0.8796,0.9405,0.9923,0.9618
56,0.9568,0.9586,0.9061,0.9586,0.0939,0.9586,0.815,0.88,0.9405,0.9923,0.9618
57,0.9571,0.9586,0.9069,0.9586,0.0931,0.9586,0.8162,0.8807,0.9405,0.9923,0.9618
58,0.9574,0.9586,0.9076,0.9586,0.0924,0.9586,0.818,0.8818,0.9405,0.9923,0.9618
59,0.9577,0.9586,0.9084,0.9586,0.0916,0.9586,0.8197,0.8828,0.9405,0.9923,0.9618
60,0.958,0.9585,0.9092,0.9585,0.0908,0.9585,0.8205,0.8833,0.9405,0.9923,0.9618
61,0.9583,0.9585,0.9098,0.9585,0.0902,0.9585,0.8221,0.8842,0.9405,0.9923,0.9618
62,0.9585,0.9582,0.9103,0.9582,0.0897,0.9582,0.8226,0.8845,0.9405,0.9923,0.9618
63,0.9587,0.9579,0.9108,0.9579,0.0892,0.9579,0.8234,0.8847,0.9405,0.9923,0.9618
64,0.959,0.9579,0.9115,0.9579,0.0885,0.9579,0.8255,0.886,0.9405,0.9923,0.9618
65,0.9592,0.9579,0.912,0.9579,0.088,0.9579,0.8274,0.8872,0.9405,0.9923,0.9618
66,0.9595,0.9578,0.9127,0.9578,0.0873,0.9578,0.8288,0.8879,0.9405,0.9923,0.9618
67,0.9597,0.9578,0.9132,0.9578,0.0868,0.9578,0.8298,0.8886,0.9405,0.9923,0.9618
68,0.9599,0.9575,0.9138,0.9575,0.0862,0.9575,0.8313,0.8893,0.9405,0.9923,0.9618
69,0.9602,0.9575,0.9144,0.9575,0.0856,0.9575,0.8329,0.8902,0.9405,0.9923,0.9618
70,0.9604,0.9572,0.915,0.9572,0.085,0.9572,0.8348,0.8912,0.9405,0.9923,0.9618
71,0.9606,0.9568,0.9156,0.9568,0.0844,0.9568,0.8356,0.8916,0.9405,0.9923,0.9618
72,0.9609,0.9568,0.9162,0.9568,0.0838,0.9568,0.8367,0.8922,0.9405,0.9923,0.9618
73,0.9611,0.9568,0.9169,0.9568,0.0831,0.9568,0.8379,0.8929,0.9405,0.9923,0.9618
74,0.9614,0.9566,0.9175,0.9566,0.0825,0.9566,0.8393,0.8935,0.9405,0.9923,0.9618
75,0.9616,0.9566,0.9181,0.9566,0.0819,0.9566,0.8399,0.8939,0.9405,0.9923,0.9618
76,0.9618,0.9563,0.9187,0.9563,0.0813,0.9563,0.8406,0.8942,0.9405,0.9923,0.9618
77,0.9622,0.9563,0.9197,0.9563,0.0803,0.9563,0.8415,0.8947,0.9405,0.9923,0.9618
78,0.9624,0.956,0.9202,0.956,0.0798,0.956,0.8424,0.8951,0.9405,0.9923,0.9618
79,0.9626,0.956,0.9206,0.956,0.0794,0.956,0.8431,0.8955,0.9405,0.9923,0.9618
80,0.9627,0.956,0.921,0.956,0.079,0.956,0.8439,0.896,0.9405,0.9923,0.9618
81,0.9628,0.9559,0.9213,0.9559,0.0787,0.9559,0.8448,0.8965,0.9405,0.9923,0.9618
82,0.963,0.9559,0.9217,0.9559,0.0783,0.9559,0.8455,0.8969,0.9405,0.9923,0.9618
83,0.9632,0.9559,0.9221,0.9559,0.0779,0.9559,0.846,0.8971,0.9405,0.9923,0.9618
84,0.9633,0.9558,0.9225,0.9558,0.0775,0.9558,0.847,0.8977,0.9405,0.9923,0.9618
85,0.9635,0.9558,0.9228,0.9558,0.0772,0.9558,0.8482,0.8983,0.9405,0.9923,0.9618
86,0.9636,0.9555,0.9231,0.9555,0.0769,0.9555,0.8491,0.8987,0.9405,0.9923,0.9618
87,0.9638,0.9554,0.9235,0.9554,0.0765,0.9554,0.85,0.8992,0.9405,0.9923,0.9618
88,0.964,0.9554,0.9239,0.9554,0.0761,0.9554,0.8512,0.8999,0.9405,0.9923,0.9618
89,0.9642,0.9554,0.9242,0.9554,0.0758,0.9554,0.8522,0.9005,0.9405,0.9923,0.9618
90,0.9643,0.9554,0.9245,0.9554,0.0755,0.9554,0.8531,0.901,0.9405,0.9923,0.9618
91,0.9644,0.9554,0.9248,0.9554,0.0752,0.9554,0.8543,0.9016,0.9405,0.9923,0.9618
