t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,PR-AUC,F-max
0.052,118567,23,0,0,0.9998,1.0,0.9998,1.0,0.0002,1.0,0.0,0.0,1.0,0.0,1.0
0.053,118567,23,0,0,0.9998,1.0,0.9998,1.0,0.0002,1.0,0.0,0.0,1.0,0.0,1.0
0.054,118567,23,0,0,0.9998,1.0,0.9998,1.0,0.0002,1.0,0.0,0.0,1.0,0.0,1.0
0.055,118570,20,0,0,0.9998,1.0,0.9998,1.0,0.0002,1.0,0.0,0.0,1.0,0.0,1.0
0.056,118573,17,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.057,118577,13,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.058,118578,12,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.059,118578,12,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.06,118578,12,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.061,118580,10,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.062,118582,8,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.063,118582,8,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.064,118584,6,0,0,0.9999,1.0,0.9999,1.0,0.0001,1.0,0.0,0.0,1.0,0.0,1.0
0.065,118586,4,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.066,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.067,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.068,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.069,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.07,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.071,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.072,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.073,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.074,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.075,118588,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
