t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,PR-AUC,F-max
0.0,0,83735,0,34855,0.2939,1.0,0.0,1.0,1.0,1.0,0.2939,0.4543,0.9947,0.989,0.9547
0.001,1,83733,0,34855,0.2939,1.0,0.0,1.0,1.0,1.0,0.2939,0.4543,0.9947,0.989,0.9547
0.002,24,83710,0,34855,0.2941,1.0,0.0003,1.0,0.9997,1.0,0.294,0.4544,0.9947,0.989,0.9547
0.003,59303,24431,79,34775,0.7933,0.9977,0.7082,0.9977,0.2918,0.9977,0.5874,0.7394,0.9947,0.989,0.9547
0.004,63564,20170,88,34766,0.8292,0.9975,0.7591,0.9975,0.2409,0.9975,0.6328,0.7744,0.9947,0.989,0.9547
0.005,65521,18213,94,34760,0.8456,0.9973,0.7825,0.9973,0.2175,0.9973,0.6562,0.7916,0.9947,0.989,0.9547
0.006,66802,16932,98,34756,0.8564,0.9972,0.7978,0.9972,0.2022,0.9972,0.6724,0.8032,0.9947,0.989,0.9547
0.007,67579,16155,101,34753,0.8629,0.9971,0.8071,0.9971,0.1929,0.9971,0.6827,0.8105,0.9947,0.989,0.9547
0.008,68175,15559,102,34752,0.8679,0.9971,0.8142,0.9971,0.1858,0.9971,0.6907,0.8161,0.9947,0.989,0.9547
0.009,68811,14923,104,34750,0.8733,0.997,0.8218,0.997,0.1782,0.997,0.6996,0.8222,0.9947,0.989,0.9547
0.01,69364,14370,107,34747,0.8779,0.9969,0.8284,0.9969,0.1716,0.9969,0.7074,0.8276,0.9947,0.989,0.9547
0.011,69920,13814,112,34742,0.8826,0.9968,0.835,0.9968,0.165,0.9968,0.7155,0.833,0.9947,0.989,0.9547
0.012,70572,13162,113,34741,0.8881,0.9968,0.8428,0.9968,0.1572,0.9968,0.7252,0.8396,0.9947,0.989,0.9547
0.013,71096,12638,115,34739,0.8925,0.9967,0.8491,0.9967,0.1509,0.9967,0.7332,0.8449,0.9947,0.989,0.9547
0.014,71572,12162,117,34737,0.8965,0.9966,0.8548,0.9966,0.1452,0.9966,0.7407,0.8498,0.9947,0.989,0.9547
0.015,71921,11813,122,34732,0.8994,0.9965,0.8589,0.9965,0.1411,0.9965,0.7462,0.8534,0.9947,0.989,0.9547
0.016,72261,11473,126,34728,0.9022,0.9964,0.863,0.9964,0.137,0.9964,0.7517,0.8569,0.9947,0.989,0.9547
0.017,72525,11209,130,34724,0.9044,0.9963,0.8661,0.9963,0.1339,0.9963,0.756,0.8596,0.9947,0.989,0.9547
0.018,72757,10977,135,34719,0.9063,0.9961,0.8689,0.9961,0.1311,0.9961,0.7598,0.862,0.9947,0.989,0.9547
0.019,72953,10781,138,34716,0.9079,0.996,0.8712,0.996,0.1288,0.996,0.763,0.8641,0.9947,0.989,0.9547
0.02,73139,10595,142,34712,0.9095,0.9959,0.8735,0.9959,0.1265,0.9959,0.7662,0.8661,0.9947,0.989,0.9547
0.021,73312,10422,148,34706,0.9109,0.9958,0.8755,0.9958,0.1245,0.9958,0.7691,0.8678,0.9947,0.989,0.9547
0.022,73499,10235,151,34703,0.9124,0.9957,0.8778,0.9957,0.1222,0.9957,0.7722,0.8698,0.9947,0.989,0.9547
0.023,73642,10092,156,34698,0.9136,0.9955,0.8795,0.9955,0.1205,0.9955,0.7747,0.8713,0.9947,0.989,0.9547
0.024,73798,9936,158,34696,0.9149,0.9955,0.8813,0.9955,0.1187,0.9955,0.7774,0.873,0.9947,0.989,0.9547
0.025,73934,9800,162,34692,0.916,0.9954,0.883,0.9954,0.117,0.9954,0.7797,0.8744,0.9947,0.989,0.9547
0.026,74077,9657,163,34691,0.9172,0.9953,0.8847,0.9953,0.1153,0.9953,0.7822,0.876,0.9947,0.989,0.9547
0.027,74198,9536,169,34685,0.9182,0.9952,0.8861,0.9952,0.1139,0.9952,0.7844,0.8773,0.9947,0.989,0.9547
0.028,74331,9403,174,34680,0.9192,0.995,0.8877,0.995,0.1123,0.995,0.7867,0.8787,0.9947,0.989,0.9547
0.029,74423,9311,175,34679,0.92,0.995,0.8888,0.995,0.1112,0.995,0.7883,0.8797,0.9947,0.989,0.9547
0.03,74532,9202,180,34674,0.9209,0.9948,0.8901,0.9948,0.1099,0.9948,0.7903,0.8808,0.9947,0.989,0.9547
0.031,74633,9101,181,34673,0.9217,0.9948,0.8913,0.9948,0.1087,0.9948,0.7921,0.882,0.9947,0.989,0.9547
0.032,74720,9014,184,34670,0.9224,0.9947,0.8923,0.9947,0.1077,0.9947,0.7937,0.8829,0.9947,0.989,0.9547
0.033,74808,8926,187,34667,0.9232,0.9946,0.8934,0.9946,0.1066,0.9946,0.7952,0.8838,0.9947,0.989,0.9547
0.034,74885,8849,191,34663,0.9238,0.9945,0.8943,0.9945,0.1057,0.9945,0.7966,0.8846,0.9947,0.989,0.9547
0.035,74972,8762,194,34660,0.9245,0.9944,0.8954,0.9944,0.1046,0.9944,0.7982,0.8856,0.9947,0.989,0.9547
0.036,75057,8677,194,34660,0.9252,0.9944,0.8964,0.9944,0.1036,0.9944,0.7998,0.8865,0.9947,0.989,0.9547
0.037,75143,8591,196,34658,0.9259,0.9944,0.8974,0.9944,0.1026,0.9944,0.8014,0.8875,0.9947,0.989,0.9547
0.038,75204,8530,197,34657,0.9264,0.9943,0.8981,0.9943,0.1019,0.9943,0.8025,0.8882,0.9947,0.989,0.9547
0.039,75262,8472,199,34655,0.9269,0.9943,0.8988,0.9943,0.1012,0.9943,0.8036,0.8888,0.9947,0.989,0.9547
0.04,75332,8402,202,34652,0.9274,0.9942,0.8997,0.9942,0.1003,0.9942,0.8048,0.8896,0.9947,0.989,0.9547
0.041,75408,8326,203,34651,0.9281,0.9942,0.9006,0.9942,0.0994,0.9942,0.8063,0.8904,0.9947,0.989,0.9547
0.042,75481,8253,204,34650,0.9287,0.9941,0.9014,0.9941,0.0986,0.9941,0.8076,0.8912,0.9947,0.989,0.9547
0.043,75554,8180,208,34646,0.9293,0.994,0.9023,0.994,0.0977,0.994,0.809,0.892,0.9947,0.989,0.9547
0.044,75632,8102,210,34644,0.9299,0.994,0.9032,0.994,0.0968,0.994,0.8105,0.8929,0.9947,0.989,0.9547
0.045,75694,8040,215,34639,0.9304,0.9938,0.904,0.9938,0.096,0.9938,0.8116,0.8935,0.9947,0.989,0.9547
0.046,75746,7988,215,34639,0.9308,0.9938,0.9046,0.9938,0.0954,0.9938,0.8126,0.8941,0.9947,0.989,0.9547
