epoch,loss,output_1_acc,output_1_loss,output_2_acc,output_2_loss,output_3_acc,output_3_loss,output_4_acc,output_4_loss,output_5_acc,output_5_loss,output_6_acc,output_6_loss,val_loss,val_output_1_acc,val_output_1_loss,val_output_2_acc,val_output_2_loss,val_output_3_acc,val_output_3_loss,val_output_4_acc,val_output_4_loss,val_output_5_acc,val_output_5_loss,val_output_6_acc,val_output_6_loss
0,951.458251953125,0.7967870831489563,0.658720850944519,0.7437695264816284,0.8495262861251831,0.5990039110183716,2.169680118560791,0.5332226753234863,3.11611270904541,0.38819336891174316,6.576747417449951,0.23891600966453552,10.954334259033203,913.6253051757812,0.9941937327384949,0.3910520672798157,0.832942008972168,0.752370297908783,0.6341202855110168,2.11112380027771,0.5538146495819092,2.6503028869628906,0.4259488582611084,6.127819061279297,0.23579387366771698,10.953402519226074
1,699.9243774414062,0.9563183784484863,0.35927334427833557,0.7966992259025574,0.6555317640304565,0.6509082317352295,1.911239504814148,0.6065722703933716,2.403033494949341,0.5333886742591858,2.746610164642334,0.2532617151737213,10.654807090759277,909.6983032226562,0.9487256407737732,0.12376344203948975,0.7432011365890503,0.7566134333610535,0.5011740326881409,2.27643084526062,0.18443410098552704,2.762955904006958,0.34423428773880005,5.915014266967773,0.1871664673089981,11.062559127807617
2,479.7817077636719,0.9823925495147705,0.23211266100406647,0.8028222918510437,0.5837653875350952,0.6479687690734863,1.6703119277954102,0.6145215034484863,1.5753226280212402,0.561230480670929,2.2129249572753906,0.46724608540534973,6.833341121673584,1063.480224609375,0.9239636063575745,0.5367312431335449,0.7021303772926331,1.0300458669662476,0.22157707810401917,4.477138996124268,0.18878880143165588,11.277327537536621,0.31165948510169983,8.84482479095459,0.636340320110321,5.861501693725586
3,311.5213623046875,0.9905566573143005,0.16915157437324524,0.7491406202316284,0.6687958240509033,0.5299121141433716,1.7193814516067505,0.4649414122104645,2.3441245555877686,0.5111425518989563,2.706259250640869,0.7441699504852295,1.9525550603866577,844.2763061523438,1.0,0.17437070608139038,0.7015326619148254,0.8713984489440918,0.4754728376865387,1.692266583442688,0.3200700283050537,4.397868633270264,0.31165948510169983,10.448893547058105,0.3343721926212311,2.9385085105895996
4,622.6052856445312,0.9921191334724426,0.13149264454841614,0.7338671684265137,0.7202814221382141,0.5112597942352295,1.7938846349716187,0.3985351622104645,2.5715420246124268,0.30472657084465027,8.128037452697754,0.635009765625,1.8624187707901,617.0347290039062,1.0,0.12119397521018982,0.2708875834941864,1.147586464881897,0.19600392878055573,2.3012607097625732,0.18469026684761047,2.3747878074645996,0.31165948510169983,7.772555351257324,0.636340320110321,2.158832311630249
5,630.0313110351562,0.9990332126617432,0.10667119920253754,0.7277441620826721,0.7378877997398376,0.4900781214237213,1.8472051620483398,0.3282519578933716,4.301041126251221,0.3086621165275574,7.698214530944824,0.6465039253234863,1.6733813285827637,600.9718017578125,1.0,0.12301112711429596,0.43427401781082153,0.889683187007904,0.31639841198921204,1.7240104675292969,0.40135765075683594,3.1364877223968506,0.30768901109695435,7.5410027503967285,0.6346753239631653,1.829746961593628
6,597.3995361328125,1.0,0.08610858023166656,0.7391698956489563,0.675797700881958,0.4648730456829071,1.8211963176727295,0.40281251072883606,3.168705463409424,0.31101563572883606,7.703336715698242,0.688281238079071,1.5297350883483887,583.9313354492188,1.0,0.053423039615154266,0.7198480367660522,0.8162382245063782,0.46906885504722595,2.1974174976348877,0.4012295603752136,3.0911104679107666,0.31165948510169983,7.381303310394287,0.636340320110321,1.5985043048858643
7,520.3939208984375,1.0,0.07394074648618698,0.7501562237739563,0.6255428791046143,0.4846484363079071,1.740594744682312,0.40562498569488525,2.9853713512420654,0.3150683641433716,6.720040321350098,0.7191699147224426,1.1701769828796387,618.9638671875,1.0,0.06780100613832474,0.7081074118614197,1.2565351724624634,0.4754728376865387,2.7526814937591553,0.3908124566078186,3.3613128662109375,0.10754387080669403,6.5569071769714355,0.23532424867153168,3.169778347015381
8,313.2653503417969,1.0,0.06350361555814743,0.7565820217132568,0.6136661767959595,0.542773425579071,1.604114055633545,0.42122069001197815,2.874147891998291,0.4639257788658142,3.2437918186187744,0.7569043040275574,1.0508086681365967,683.6367797851562,1.0,0.03823574259877205,0.7065704464912415,1.376917839050293,0.48281604051589966,2.7874977588653564,0.3987106680870056,3.604931354522705,0.28459206223487854,8.130958557128906,0.3417581021785736,2.4544928073883057
9,267.6796569824219,1.0,0.055187758058309555,0.7645702958106995,0.5802175402641296,0.5533788800239563,1.4814738035202026,0.4432714879512787,2.7826898097991943,0.5104296803474426,2.565105676651001,0.7855761647224426,0.968263566493988,390.6719970703125,1.0,0.06788797676563263,0.5759296417236328,0.7957276105880737,0.29120948910713196,1.7788740396499634,0.39529523253440857,2.822484254837036,0.34496009349823,3.8313777446746826,0.647824764251709,2.0232036113739014
